unix,date,symbol,open,high,low,close,Volume SOL,Volume UST
1653440400,2022-05-25 01:00:00,SOL/UST,718.951,720.946,713.408,720.946,4.9369,3524.884047
1653436800,2022-05-25 00:00:00,SOL/UST,718.97,727.059,713.955,723.978,22.9881,16591.998209
1653433200,2022-05-24 23:00:00,SOL/UST,747.227,750.956,708.284,717.385,167.01636553,124225.64012919908
1653429600,2022-05-24 22:00:00,SOL/UST,766.766,767.751,746.697,747.507,11.92940339,8963.53899487589
1653426000,2022-05-24 21:00:00,SOL/UST,760.62,766.767,743.186,766.767,58.9451,44325.042934
1653422400,2022-05-24 20:00:00,SOL/UST,757.696,765.564,743.73,761.34,70.09233057,52744.58966103318
1653418800,2022-05-24 19:00:00,SOL/UST,765.515,772.392,752.484,753.178,36.2769649,27719.12429309902
1653415200,2022-05-24 18:00:00,SOL/UST,760.604,776.808,760.604,770.873,31.7904,24443.5690799
1653411600,2022-05-24 17:00:00,SOL/UST,747.227,760.31,744.621,760.31,17.53303542,13182.05766934656
1653408000,2022-05-24 16:00:00,SOL/UST,756.172,757.279,747.227,747.227,13.3017,9997.52505837342
1653404400,2022-05-24 15:00:00,SOL/UST,725.601,760.709,723.364,760.709,34.48696576,25649.42998395648
1653400800,2022-05-24 14:00:00,SOL/UST,745.703,757.548,719.966,730.68,171.68063424,125331.43028214352
1653397200,2022-05-24 13:00:00,SOL/UST,728.71,748.584,728.71,740.52,39.6472,29476.8552233
1653393600,2022-05-24 12:00:00,SOL/UST,744.27,750.083,708.723,728.123,101.71379993,73507.22829546949
1653390000,2022-05-24 11:00:00,SOL/UST,756.173,756.173,740.037,745.869,17.7539,13331.652123
1653386400,2022-05-24 10:00:00,SOL/UST,774.718,774.718,757.215,757.215,93.30365147,71646.4578666797
1653382800,2022-05-24 09:00:00,SOL/UST,755.675,774.718,747.095,772.873,46.84844451,35492.62012129154
1653379200,2022-05-24 08:00:00,SOL/UST,756.172,757.171,743.48,755.675,20.57065538,15414.1083294815
1653375600,2022-05-24 07:00:00,SOL/UST,741.323,765.564,741.323,756.713,6.6023,4983.5021174
1653372000,2022-05-24 06:00:00,SOL/UST,733.885,757.697,722.87,740.168,55.1115,40645.0737608
1653368400,2022-05-24 05:00:00,SOL/UST,743.855,764.375,733.232,735.629,56.58892371,42325.02850481055
1653364800,2022-05-24 04:00:00,SOL/UST,779.646,782.123,743.855,743.855,128.813,99195.7456364
1653361200,2022-05-24 03:00:00,SOL/UST,769.334,787.812,767.333,779.433,47.36937352,36862.26661540832
1653357600,2022-05-24 02:00:00,SOL/UST,767.473,776.808,767.047,773.859,20.8686,16171.8500592
1653354000,2022-05-24 01:00:00,SOL/UST,745.043,779.028,745.042,772.872,58.6993,45176.4595438
1653350400,2022-05-24 00:00:00,SOL/UST,712.75,751.71,698.294,751.71,72.79507293,52525.38212499751
1653346800,2022-05-23 23:00:00,SOL/UST,695.361,727.059,694.978,712.55,78.29828064,55815.5258401016
1653343200,2022-05-23 22:00:00,SOL/UST,703.403,723.978,694.852,696.435,103.8353962,73465.5780458502
1653339600,2022-05-23 21:00:00,SOL/UST,730.528,741.901,699.924,704.289,100.5489,72630.4669401
1653336000,2022-05-23 20:00:00,SOL/UST,749.665,755.675,712.233,735.37,100.11483748,72446.3543623838
1653332400,2022-05-23 19:00:00,SOL/UST,731.986,767.901,726.451,748.743,113.32674454,85150.21772486968
1653328800,2022-05-23 18:00:00,SOL/UST,724.004,761.31,713.986,727.259,113.75845782,83458.83771966228
1653325200,2022-05-23 17:00:00,SOL/UST,817.911,817.911,691.545,727.059,390.9153493,289336.19833212451
1653321600,2022-05-23 16:00:00,SOL/UST,835.745,844.736,817.911,817.911,22.91683169,18984.0797189488
1653318000,2022-05-23 15:00:00,SOL/UST,848.757,857.575,835.935,843.115,41.91339981,35661.38063530815
1653314400,2022-05-23 14:00:00,SOL/UST,818.597,848.421,817.211,848.421,216.22073104,181671.33519761213
1653310800,2022-05-23 13:00:00,SOL/UST,844.986,855.809,820.443,820.76,159.25046133,133064.18139466329
1653307200,2022-05-23 12:00:00,SOL/UST,827.334,852.57,821.85,844.989,239.3214114,198826.2727234392
1653303600,2022-05-23 11:00:00,SOL/UST,818.318,832.328,813.556,832.328,20.45635418,16802.03761958842
1653300000,2022-05-23 10:00:00,SOL/UST,786.765,818.318,778.481,818.318,42.0569,33437.9602534
1653296400,2022-05-23 09:00:00,SOL/UST,800.586,800.586,765.223,792.074,51.9792,40604.5541725
1653292800,2022-05-23 08:00:00,SOL/UST,815.075,815.91,793.03,801.409,87.1183,70178.4852602
1653289200,2022-05-23 07:00:00,SOL/UST,807.338,822.401,799.346,813.768,22.50683421,18247.10941850943
1653285600,2022-05-23 06:00:00,SOL/UST,814.31,814.31,795.512,802.304,29.89877466,24049.67201580036
1653282000,2022-05-23 05:00:00,SOL/UST,809.466,820.249,791.667,820.249,32.67652168,26180.80282290336
1653278400,2022-05-23 04:00:00,SOL/UST,762.136,815.132,762.136,815.132,40.15118325,31492.75886123776
1653274800,2022-05-23 03:00:00,SOL/UST,755.33,769.814,724.004,757.215,70.82394122,52493.52092717376
1653271200,2022-05-23 02:00:00,SOL/UST,768.264,768.264,724.086,754.698,26.9132,19983.3658835
1653267600,2022-05-23 01:00:00,SOL/UST,797.952,802,754.168,774.718,111.8634,87875.4806126
1653264000,2022-05-23 00:00:00,SOL/UST,823.508,823.508,796.611,802,201.94133541,162398.52637152
1653260400,2022-05-22 23:00:00,SOL/UST,789.98,824.08,783.651,824.08,2.8334,2284.1854696
1653256800,2022-05-22 22:00:00,SOL/UST,807.896,819.321,782.673,784.804,60.0020736,48278.7655036256
1653253200,2022-05-22 21:00:00,SOL/UST,817.514,817.514,795.325,802.68,57.1396674,45785.1888210412
1653249600,2022-05-22 20:00:00,SOL/UST,828.395,832.612,814.31,823.236,39.61643796,32752.34005965152
1653246000,2022-05-22 19:00:00,SOL/UST,810.213,833.365,810.213,833.365,25.24204827,20841.14232196307
1653242400,2022-05-22 18:00:00,SOL/UST,802.68,819.174,791.952,807.92,28.86590243,23257.3245707941
1653238800,2022-05-22 17:00:00,SOL/UST,841.641,844.958,793.611,807.339,35.266,28425.6370069
1653235200,2022-05-22 16:00:00,SOL/UST,838.99,864.52,831.823,848.028,41.93465419,35552.37012619603
1653231600,2022-05-22 15:00:00,SOL/UST,807.339,848.028,796.611,839.502,58.89267884,48570.17860676956
1653228000,2022-05-22 14:00:00,SOL/UST,821.963,823.677,800.586,802.213,25.71309533,20974.34081212841
1653224400,2022-05-22 13:00:00,SOL/UST,782.926,828.17,782.926,826.505,24.3475,19351.4647007
1653220800,2022-05-22 12:00:00,SOL/UST,767.025,782.47,740.761,782.47,99.6447,75859.912029
1653217200,2022-05-22 11:00:00,SOL/UST,746.643,772.394,705.23,772.394,54.8608,41094.6673942
1653213600,2022-05-22 10:00:00,SOL/UST,801.486,801.486,744.269,746.641,61.7941,46759.0927189
1653210000,2022-05-22 09:00:00,SOL/UST,774.971,811.369,765.223,796.611,48.17034918,38440.84431668012
1653206400,2022-05-22 08:00:00,SOL/UST,753.502,788.352,753.502,774.971,29.0849,22490.1415469
1653202800,2022-05-22 07:00:00,SOL/UST,738.581,779.028,738.581,750.197,168.245,127167.624518
1653199200,2022-05-22 06:00:00,SOL/UST,728.343,770.873,687.434,734.877,132.9862,96703.120825
1653195600,2022-05-22 05:00:00,SOL/UST,783.651,791.138,677.869,728.343,169.80873663,124430.38728856029
1653192000,2022-05-22 04:00:00,SOL/UST,781.745,797.099,742.989,783.651,180.19337796,138319.3095460646
1653188400,2022-05-22 03:00:00,SOL/UST,850.891,855.809,781.923,781.923,71.30001053,59305.93981494609
1653184800,2022-05-22 02:00:00,SOL/UST,866.553,869.258,824.305,851.42,47.8253,40932.0494968
1653181200,2022-05-22 01:00:00,SOL/UST,856.458,873.99,820.76,866.948,110.93393583,94752.7579718501
